x1,x2,y
66.29,7,196
40.964,5,63
72.996,10,252
45.01,6,84
57.204,4,126
26.852,5,14
38.122,4,49
35.84,6,49
75.796,9,266
37.408,5,49
54.376,2,105
46.186,7,98
46.13,4,77
30.366,3,14
39.06,5,56
79.38,1,245
52.766,8,133
55.916,6,133
